shap_temperature_C,shap_medium_enc,shap_NaCl_pct,shap_PCS_conc_pct,shap_pcs_enc,actual_mu_max,predicted_mu_max,strain,temperature_C,NaCl_pct,PCS_conc_pct
-0.012060842758221014,-0.002375097768459053,0.0014286392859395552,0.00202533869038216,0.0005343485260010184,0.019,0.022894674111235924,A_media,4,0.0,0.0
-0.004701982338222642,-0.00261574840181175,0.0011330169308409388,0.0020801766016856986,0.00026832686988360443,0.032,0.029506077797969082,A_media,8,0.0,0.0
0.03098860919640821,-0.007221476658519239,0.002162703930084098,0.003932900382393893,0.0011146370365602406,0.078,0.06431966202252037,A_media,15,0.0,0.0
-0.013319876295634971,0.001442961166918558,0.0018479526297902956,0.0026265077964587363,0.000687470628821374,0.025,0.026627304061947223,A_media,4,0.0,0.0
-0.005701106384329729,0.0014622200248727653,0.0015503209203252117,0.0026888064073891053,0.00043542940337554085,0.051,0.0337779585072261,A_media,8,0.0,0.0
0.039608669777072926,0.006475676394937207,0.0028176787012831796,0.00518683006001756,0.0015024681053833872,0.091,0.0889336111742876,A_media,15,0.0,0.0
-0.012060842758221014,-0.002375097768459053,0.0014286392859395552,0.00202533869038216,0.0005343485260010184,0.021,0.022894674111235924,A_bestiarum,4,0.0,0.0
-0.004701982338222642,-0.00261574840181175,0.0011330169308409388,0.0020801766016856986,0.00026832686988360443,0.03,0.029506077797969082,A_bestiarum,8,0.0,0.0
0.03098860919640821,-0.007221476658519239,0.002162703930084098,0.003932900382393893,0.0011146370365602406,0.075,0.06431966202252037,A_bestiarum,15,0.0,0.0
-0.013319876295634971,0.001442961166918558,0.0018479526297902956,0.0026265077964587363,0.000687470628821374,0.026,0.026627304061947223,A_bestiarum,4,0.0,0.0
-0.005701106384329729,0.0014622200248727653,0.0015503209203252117,0.0026888064073891053,0.00043542940337554085,0.045,0.0337779585072261,A_bestiarum,8,0.0,0.0
0.039608669777072926,0.006475676394937207,0.0028176787012831796,0.00518683006001756,0.0015024681053833872,0.082,0.0889336111742876,A_bestiarum,15,0.0,0.0
-0.012060842758221014,-0.002375097768459053,0.0014286392859395552,0.00202533869038216,0.0005343485260010184,0.019,0.022894674111235924,A_piscicola,4,0.0,0.0
-0.004701982338222642,-0.00261574840181175,0.0011330169308409388,0.0020801766016856986,0.00026832686988360443,0.026,0.029506077797969082,A_piscicola,8,0.0,0.0
0.03098860919640821,-0.007221476658519239,0.002162703930084098,0.003932900382393893,0.0011146370365602406,0.057,0.06431966202252037,A_piscicola,15,0.0,0.0
-0.013319876295634971,0.001442961166918558,0.0018479526297902956,0.0026265077964587363,0.000687470628821374,0.026,0.026627304061947223,A_piscicola,4,0.0,0.0
-0.005701106384329729,0.0014622200248727653,0.0015503209203252117,0.0026888064073891053,0.00043542940337554085,0.044,0.0337779585072261,A_piscicola,8,0.0,0.0
0.039608669777072926,0.006475676394937207,0.0028176787012831796,0.00518683006001756,0.0015024681053833872,0.103,0.0889336111742876,A_piscicola,15,0.0,0.0
-0.012060842758221014,-0.002375097768459053,0.0014286392859395552,0.00202533869038216,0.0005343485260010184,0.014,0.022894674111235924,A_salmonicida_SU2,4,0.0,0.0
-0.004701982338222642,-0.00261574840181175,0.0011330169308409388,0.0020801766016856986,0.00026832686988360443,0.024,0.029506077797969082,A_salmonicida_SU2,8,0.0,0.0
0.03098860919640821,-0.007221476658519239,0.002162703930084098,0.003932900382393893,0.0011146370365602406,0.043,0.06431966202252037,A_salmonicida_SU2,15,0.0,0.0
-0.013319876295634971,0.001442961166918558,0.0018479526297902956,0.0026265077964587363,0.000687470628821374,0.024,0.026627304061947223,A_salmonicida_SU2,4,0.0,0.0
-0.005701106384329729,0.0014622200248727653,0.0015503209203252117,0.0026888064073891053,0.00043542940337554085,0.046,0.0337779585072261,A_salmonicida_SU2,8,0.0,0.0
0.039608669777072926,0.006475676394937207,0.0028176787012831796,0.00518683006001756,0.0015024681053833872,0.096,0.0889336111742876,A_salmonicida_SU2,15,0.0,0.0
-0.012060842758221014,-0.002375097768459053,0.0014286392859395552,0.00202533869038216,0.0005343485260010184,0.016,0.022894674111235924,A_salmonicida_Nr21,4,0.0,0.0
-0.004701982338222642,-0.00261574840181175,0.0011330169308409388,0.0020801766016856986,0.00026832686988360443,0.026,0.029506077797969082,A_salmonicida_Nr21,8,0.0,0.0
0.03098860919640821,-0.007221476658519239,0.002162703930084098,0.003932900382393893,0.0011146370365602406,0.053,0.06431966202252037,A_salmonicida_Nr21,15,0.0,0.0
-0.013319876295634971,0.001442961166918558,0.0018479526297902956,0.0026265077964587363,0.000687470628821374,0.021,0.026627304061947223,A_salmonicida_Nr21,4,0.0,0.0
