strain,temperature_C,medium,NaCl_pct,PCS_type,PCS_conc_pct,mu_max,lag_h,ymax,r2,se,experiment,species,growth,sqrt_mu_max
A_caviae,8,TSB,0.0,VTABB,0.026,0.032,6.5,8.78,0.99,0.055,PCS_VTABB,A. caviae,Y,0.17888543819998318
A_caviae,8,TSB,0.0,VTABB,0.13,0.018,61.02,,0.99,0.061,PCS_VTABB,A. caviae,Y,0.1341640786499874
A_media,4,TSB,0.0,JJT01,0.026,0.018,22.23,8.79,1.0,0.031,PCS_JJT01,A. media,Y,0.1341640786499874
A_media,4,TSB,0.0,JJT01,0.13,0.013,83.74,,0.9,0.143,PCS_JJT01,A. media,Y,0.11401754250991379
A_bestiarum,4,TSB,0.0,JJT01,0.026,0.022,16.75,9.04,1.0,0.04,PCS_JJT01,A. bestiarum,Y,0.14832396974191325
A_bestiarum,4,TSB,0.0,JJT01,0.13,0.004,8.9,7.88,0.92,0.06,PCS_JJT01,A. bestiarum,Y,0.06324555320336758
A_piscicola,4,TSB,0.0,JJT01,0.026,0.023,10.29,9.06,1.0,0.022,PCS_JJT01,A. piscicola,Y,0.15165750888103102
A_piscicola,4,TSB,0.0,JJT01,0.13,0.016,34.34,9.13,0.97,0.131,PCS_JJT01,A. piscicola,Y,0.12649110640673517
A_salmonicida_SU2,4,TSB,0.0,JJT01,0.026,0.024,11.33,9.13,1.0,0.041,PCS_JJT01,A. salmonicida SU2,Y,0.15491933384829668
A_salmonicida_SU2,4,TSB,0.0,JJT01,0.13,0.02,57.24,9.14,0.95,0.171,PCS_JJT01,A. salmonicida SU2,Y,0.1414213562373095
A_salmonicida_Nr21,4,TSB,0.0,JJT01,0.026,0.023,17.9,9.02,1.0,0.036,PCS_JJT01,A. salmonicida Nr.21,Y,0.15165750888103102
A_salmonicida_Nr21,4,TSB,0.0,JJT01,0.13,0.018,76.07,9.06,0.96,0.134,PCS_JJT01,A. salmonicida Nr.21,Y,0.1341640786499874
A_media,8,TSB,0.0,JJT01,0.026,0.04,13.69,8.87,0.99,0.05,PCS_JJT01,A. media,Y,0.2
A_media,8,TSB,0.0,JJT01,0.13,0.022,36.27,8.83,0.96,0.099,PCS_JJT01,A. media,Y,0.14832396974191325
A_bestiarum,8,TSB,0.0,JJT01,0.026,0.041,11.4,9.19,0.99,0.048,PCS_JJT01,A. bestiarum,Y,0.2024845673131659
A_bestiarum,8,TSB,0.0,JJT01,0.13,0.031,35.0,9.01,1.0,0.03,PCS_JJT01,A. bestiarum,Y,0.17606816861659008
A_piscicola,8,TSB,0.0,JJT01,0.026,0.042,7.78,9.1,0.99,0.053,PCS_JJT01,A. piscicola,Y,0.20493901531919198
A_piscicola,8,TSB,0.0,JJT01,0.13,0.032,33.3,9.05,1.0,0.048,PCS_JJT01,A. piscicola,Y,0.17888543819998318
A_piscicola,8,TSB,0.0,JJT01,2.6,0.012,351.8,,0.91,0.149,PCS_JJT01,A. piscicola,Y,0.10954451150103323
A_salmonicida_SU2,8,TSB,0.0,JJT01,0.026,0.043,11.72,9.12,1.0,0.048,PCS_JJT01,A. salmonicida SU2,Y,0.2073644135332772
A_salmonicida_SU2,8,TSB,0.0,JJT01,0.13,0.026,26.42,9.1,0.99,0.06,PCS_JJT01,A. salmonicida SU2,Y,0.161245154965971
A_salmonicida_SU2,8,TSB,0.0,JJT01,2.6,0.012,245.4,9.3,0.98,0.086,PCS_JJT01,A. salmonicida SU2,Y,0.10954451150103323
A_salmonicida_Nr21,8,TSB,0.0,JJT01,0.026,0.042,8.59,9.05,0.99,0.063,PCS_JJT01,A. salmonicida Nr.21,Y,0.20493901531919198
A_salmonicida_Nr21,8,TSB,0.0,JJT01,0.13,0.027,33.28,9.0,0.99,0.069,PCS_JJT01,A. salmonicida Nr.21,Y,0.16431676725154984
A_hydrophila,8,TSB,0.0,JJT01,0.026,0.032,15.18,8.93,0.99,0.045,PCS_JJT01,A. hydrophila,Y,0.17888543819998318
