target,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_fmt,MAE_fmt,RMSE_fmt
lag_h,GPR,0.595437312398264,0.2831721530191775,10.536257942885499,3.6170341471753837,17.928233421665706,7.398109038133508,0.595 ± 0.283,10.5363 ± 3.6170,17.9282 ± 7.3981
lag_h,RandomForest,0.19958441225970938,0.6671589914198125,13.765793292061158,6.22907705397991,27.270347772417644,19.012859685704143,0.200 ± 0.667,13.7658 ± 6.2291,27.2703 ± 19.0129
lag_h,XGBoost,0.5790703233579494,0.3651479483676494,9.994796327243444,3.4875655096733977,17.659310498033385,7.454882329790793,0.579 ± 0.365,9.9948 ± 3.4876,17.6593 ± 7.4549
mu_max,GPR,0.8919043089721357,0.039816800887309683,0.005974188300548794,0.0028760269320272304,0.0071605381297236105,0.002718124709543083,0.892 ± 0.040,0.0060 ± 0.0029,0.0072 ± 0.0027
mu_max,RandomForest,0.871563381469965,0.05307231723418848,0.006289029866651885,0.002416594227407727,0.0076801934377306955,0.0027971519420227904,0.872 ± 0.053,0.0063 ± 0.0024,0.0077 ± 0.0028
mu_max,XGBoost,0.8390862908438472,0.0643920849868987,0.006922356159576334,0.002885013430789588,0.008698980113273353,0.0033229404972503693,0.839 ± 0.064,0.0069 ± 0.0029,0.0087 ± 0.0033
ymax,GPR,-0.975640612365775,1.696861789499079,0.1289886308575515,0.02720435065052919,0.1614685665809764,0.06220567538200046,-0.976 ± 1.697,0.1290 ± 0.0272,0.1615 ± 0.0622
ymax,RandomForest,-1.0411174334906768,1.9221436066485111,0.1293589591712858,0.030277937921008125,0.16151372293913188,0.06546285361086739,-1.041 ± 1.922,0.1294 ± 0.0303,0.1615 ± 0.0655
ymax,XGBoost,-1.187587273969294,2.0673760286133223,0.1301591195312201,0.029400409780021678,0.16717653829265597,0.06377966668749623,-1.188 ± 2.067,0.1302 ± 0.0294,0.1672 ± 0.0638
